,Airport,Hour,AIRPORT_POS,AvgDelay,LowDelay,HighDelay,Count
1415,JFK,09,"{'lat': 40.63975, 'lon': -73.77893}",9.043478260869565,-10.0,52.0,23
579,BTR,09,"{'lat': 30.53316, 'lon': -91.14963}",-6.0,-6.0,-6.0,1
1079,FNT,09,"{'lat': 42.9655, 'lon': -83.74346}",-7.0,-7.0,-7.0,1
476,BHM,09,"{'lat': 33.562940000000005, 'lon': -86.75355}",-5.5,-6.0,-5.0,2
1457,KTN,09,"{'lat': 55.35556999999999, 'lon': -131.71374}",-1.0,-2.0,0.0,2
2311,SCC,09,"{'lat': 70.19476, 'lon': -148.46516}",-4.0,-4.0,-4.0,1
510,BNA,09,"{'lat': 36.12448, 'lon': -86.67818}",-4.125,-7.0,0.0,8
967,ELP,09,"{'lat': 31.80667, 'lon': -106.37781000000001}",-7.0,-9.0,-5.0,2
1646,MCO,09,"{'lat': 28.428890000000003, 'lon': -81.31603}",4.611111111111111,-8.0,78.0,18
994,EVV,09,"{'lat': 38.03799, 'lon': -87.53063}",-4.0,-4.0,-4.0,1
597,BUF,09,"{'lat': 42.94052, 'lon': -78.73217}",-9.0,-9.0,-9.0,1
1474,LAS,09,"{'lat': 36.08036, 'lon': -115.15233}",13.84375,-11.0,188.0,32
2295,SBN,09,"{'lat': 41.70895, 'lon': -86.31846999999999}",-7.5,-10.0,-5.0,2
1064,FLL,09,"{'lat': 26.07258, 'lon': -80.15275}",-2.0,-6.0,6.0,14
1629,MCI,09,"{'lat': 39.29761, 'lon': -94.71391}",5.333333333333333,-5.0,20.0,3
305,ABQ,09,"{'lat': 35.04022, 'lon': -106.60918999999998}",1.75,-2.0,8.0,4
627,BWI,09,"{'lat': 39.1754, 'lon': -76.6682}",-2.3333333333333335,-8.0,1.0,9
611,BUR,09,"{'lat': 34.20062, 'lon': -118.3585}",-2.6666666666666665,-6.0,3.0,3
1004,EWR,09,"{'lat': 40.6925, 'lon': -74.16866}",-0.3333333333333333,-9.0,20.0,12
1575,LIH,09,"{'lat': 21.97598, 'lon': -159.33896000000001}",1.0,1.0,1.0,1
2436,SLC,09,"{'lat': 40.78839, 'lon': -111.97776999999999}",6.428571428571429,-8.0,61.0,21
1514,LBB,09,"{'lat': 33.66364, 'lon': -101.82278000000001}",169.0,169.0,169.0,1
2416,SJU,09,"{'lat': 18.439420000000002, 'lon': -66.00183}",-8.5,-10.0,-7.0,2
2472,SNA,09,"{'lat': 33.67566, 'lon': -117.86822}",-5.0,-9.0,-3.0,4
1592,LIT,09,"{'lat': 34.7294, 'lon': -92.22425}",1.0,1.0,1.0,1
1442,KOA,09,"{'lat': 19.738770000000002, 'lon': -156.04563000000002}",0.0,0.0,0.0,1
1497,LAX,09,"{'lat': 33.94254, 'lon': -118.40807}",10.571428571428571,-13.0,297.0,42
1687,MEM,09,"{'lat': 35.04242, 'lon': -89.97667}",-4.0,-7.0,0.0,3
2237,SAN,09,"{'lat': 32.73356, 'lon': -117.18966}",4.846153846153846,-14.0,112.0,13
500,BLI,09,"{'lat': 48.79275, 'lon': -122.53753}",10.0,10.0,10.0,1
527,BOI,09,"{'lat': 43.564440000000005, 'lon': -116.22278}",0.0,0.0,0.0,1
2256,SAT,09,"{'lat': 29.533690000000004, 'lon': -98.46978}",-2.8,-5.0,1.0,5
2455,SMF,09,"{'lat': 38.69542, 'lon': -121.59076999999999}",7.714285714285714,-5.0,50.0,7
2318,SDF,09,"{'lat': 38.17439, 'lon': -85.736}",-7.0,-9.0,-5.0,2
1668,MDW,09,"{'lat': 41.78598, 'lon': -87.75242}",-1.7777777777777777,-10.0,9.0,9
1980,PBI,09,"{'lat': 26.683159999999997, 'lon': -80.09559}",-5.0,-6.0,-4.0,3
2183,RNO,09,"{'lat': 39.49858, 'lon': -119.76806}",-3.5,-6.0,-1.0,2
1915,OMA,09,"{'lat': 41.30252, 'lon': -95.89416999999999}",0.0,0.0,0.0,1
732,CLT,09,"{'lat': 35.214009999999995, 'lon': -80.94313000000001}",-0.7,-10.0,36.0,30
425,AUS,09,"{'lat': 30.19453, 'lon': -97.66986999999999}",7.0,-4.0,25.0,3
1902,OKC,09,"{'lat': 35.39309, 'lon': -97.60073}",-4.0,-4.0,-4.0,1
1277,IAD,09,"{'lat': 38.94453, 'lon': -77.45581}",32.6,-9.0,167.0,5
2082,PNS,09,"{'lat': 30.473309999999998, 'lon': -87.18744000000001}",-5.0,-5.0,-5.0,2
842,DAY,09,"{'lat': 39.90238, 'lon': -84.21938}",-5.0,-6.0,-4.0,2
827,DAL,09,"{'lat': 32.84711, 'lon': -96.85177}",-2.0,-5.0,1.0,5
1161,GRR,09,"{'lat': 42.88082, 'lon': -85.52277}",-1.0,-1.0,-1.0,2
1296,IAH,09,"{'lat': 29.98047, 'lon': -95.33972}",6.84375,-9.0,90.0,32
1869,OAK,09,"{'lat': 37.72129, 'lon': -122.22072}",-4.333333333333333,-12.0,3.0,6
714,CLE,09,"{'lat': 41.41089, 'lon': -81.8494}",0.0,-5.0,5.0,2
2101,PSP,09,"{'lat': 33.82922, 'lon': -116.50625}",-2.0,-2.0,-2.0,1
859,DCA,09,"{'lat': 38.85208, 'lon': -77.03772}",-3.0,-8.0,14.0,10
2583,TUL,09,"{'lat': 36.198370000000004, 'lon': -95.88824}",-6.0,-10.0,-2.0,2
2113,PUB,09,"{'lat': 38.28909, 'lon': -104.49656999999999}",-10.0,-10.0,-10.0,1
2598,TUS,09,"{'lat': 32.11608, 'lon': -110.94103}",93.5,-3.0,190.0,2
